#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:6
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid was enacted in {{c1::1965}} as {{c2::Title XIX}} of the Social Security Act.			medicaid core-facts statute prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	CHIP was enacted in {{c1::1997}} as {{c2::Title XXI}}, under the {{c3::Balanced Budget Act}}.			medicaid core-facts statute prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid's statutory home is {{c1::42 U.S.C. ch. 7, subchapter XIX}}; its regulations are at {{c2::42 C.F.R. parts 430-460}}.			medicaid core-facts statute prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	The three state plan requirements waivers most often set aside are {{c1::statewideness}}, {{c2::comparability}}, and {{c3::freedom of choice}}.			medicaid core-facts state-plan prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid is administered federally by {{c1::CMS}}, specifically the {{c2::Center for Medicaid and CHIP Services (CMCS)}}; the body advising Congress is {{c3::MACPAC}}.			medicaid core-facts administration prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	The last state to join Medicaid was {{c1::Arizona}}, in {{c2::1982}}.			medicaid core-facts history prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid and CHIP together cover roughly {{c1::78-80 million}} people, at total federal and state spending near {{c2::$1 trillion}} a year.	As of FY2025: about $971 billion in CMS-64 medical services spending. Verify against MACStats before citing.		medicaid core-facts size prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid is roughly {{c1::30}} percent of total state spending counting federal funds, but only about {{c2::15-20}} percent of state general fund spending.			medicaid core-facts size prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid pays for roughly {{c1::4 in 10}} U.S. births and covers roughly {{c2::6 in 10}} nursing facility residents.			medicaid core-facts size prio::1-core
Cloze	Medicaid::1. Core Facts (Cloze)	Medicaid's pandemic enrollment peak was near {{c1::94 million}}; the continuous enrollment condition ended on {{c2::March 31, 2023}}, and roughly {{c3::25 million}} people were disenrolled during the unwinding.			medicaid core-facts size prio::1-core
