stratum,token,lift,survival,google_first,google_last,google_lift,google_slope,google_present
negative,mens,3.2336178848199464,0.6680911680911681,1.5888790585449897e-6,1.058241196005838e-6,0.6660300482372262,-0.012712384151374094,true
negative,periodically,3.087004686536688,0.4860568878973787,5.277119998936541e-6,3.6165603432891657e-6,0.6853284261146201,-0.011096794467307516,true
negative,sunless,3.0032405835057387,0.7191213539791141,4.8270376851178296e-8,9.267145628655271e-8,1.9198411599782357,0.027028040169490963,true
negative,microfiche,2.9885928335251863,0.3653992395437262,0.00001275763897865545,1.1120508105477712e-7,0.008716744629694578,-0.1592803423182125,true
negative,rejection,2.9876270430924494,0.7503639010189228,9.541954568703659e-6,0.000011607188207563013,1.2164371695536096,0.00675206759374673,true
negative,womens,2.910797808088837,0.6071987480438185,1.8704213289311156e-7,1.2207342194869853e-7,0.6526519991004353,-0.025964468707286026,true
negative,minicomputers,2.862055480352218,0.3041650745128009,6.281252240114555e-7,3.5708111312260374e-8,0.056848714153229334,-0.08862302289870563,true
negative,lager,2.81115634977516,0.5451364590622814,1.9726631990124587e-7,4.316408933391358e-7,2.1881124641815237,0.03133136846898416,true
negative,astringent,2.7994097275366507,0.6985250737463127,2.4227957737821273e-7,3.8514373841280757e-7,1.5896665438357416,0.012782076668481801,true
negative,dialing,2.641379025429135,0.41517241379310343,7.358858397310541e-7,4.36206551057694e-7,0.5927638874218797,-0.01752282519970065,true
negative,dial-up,2.5876254447471805,0.43828101188661994,3.4026745652226966e-7,1.232632612868656e-7,0.362254041414032,-0.026923466753666404,true
negative,proxy,2.583954945159025,0.39925373134328357,2.825037745424197e-6,3.967930570070166e-6,1.4045584263421431,0.009595138215033704,true
negative,pager,2.551180827175855,0.4579527559055118,1.191194002103657e-7,2.2025538441994287e-7,1.8490303345296424,0.012138282071052288,true
negative,stout,2.5394092990269375,0.4992834623101175,1.415575297869509e-6,2.1173123286644112e-6,1.4957256825907044,0.01745540887926845,true
negative,smartwatch,2.5203449809141505,0.2436498150431566,7.985752129013867e-11,9.862676932925752e-8,1235.0341925956648,0.2241003988413236,true
negative,productive,2.485419202521736,0.38088829071332436,0.000014372547957464121,0.000013556533485825639,0.943224091229092,-0.001717278024325843,true
negative,porter,2.4760611601974674,0.54516711833785,1.0342375162508688e-6,1.4146474086373927e-6,1.3678167600857463,0.01225747755792668,true
negative,slogans,2.4198985585361297,0.6922428330522765,1.194615515487385e-6,1.2899682133138413e-6,1.0798187338020249,0.0021807631810933964,true
negative,shandy,2.4064072278308455,0.498020158387329,1.8534562506999918e-8,2.7885473485866896e-8,1.5045120960009406,0.029493727967930296,true
negative,store-and-forward,2.360499011167395,0.5179882525697503,8.622058516039033e-8,3.375514339154506e-8,0.39149749829176694,-0.03459350026805171,true
negative,casualty,2.3411124158051613,0.45768082383766984,2.554734010118409e-6,1.551463606119796e-6,0.6072896825951315,-0.013475681954400874,true
negative,blemish,2.30789175521002,0.6209761163032191,2.865320425371465e-7,8.96586595899862e-7,3.129097143764042,0.032124734282544455,true
negative,carry-out,2.2797707997409,0.5708502024291497,7.688691709972772e-8,5.498518049762424e-8,0.7151435194924594,-0.01629866294089583,true
negative,selfie,2.270139860207299,0.22263572679509633,3.135377124596772e-10,7.34047500827728e-7,2341.1777009827197,0.2262584243359697,true
negative,sepsis,2.234391872894678,0.5474260679079956,1.325250514128129e-6,2.6109629288839643e-6,1.97016556571698,0.024948554076355024,true
