stratum,token,lift,survival,n_token,p_stratum,p_pop
negative,mens,3.2336178848199464,0.6680911680911681,3510,0.0012242819882770954,0.00037861059404217936
negative,periodically,3.087004686536688,0.4860568878973787,3586,0.0011940794370244446,0.0003868084302664545
negative,sunless,3.0032405835057387,0.7191213539791141,2777,0.0008996045623110992,0.00029954462098436815
negative,microfiche,2.9885928335251863,0.3653992395437262,2630,0.0008478287601636978,0.00028368827986636233
negative,rejection,2.9876270430924494,0.7503639010189228,2748,0.0008855819492295114,0.0002964164992672105
negative,womens,2.910797808088837,0.6071987480438185,3195,0.001003156166605902,0.00034463272021788125
negative,minicomputers,2.862055480352218,0.3041650745128009,2617,0.0008079182460084092,0.00028228601840694684
negative,lager,2.81115634977516,0.5451364590622814,10003,0.003033199075801932,0.0010789862598871568
negative,astringent,2.7994097275366507,0.6985250737463127,3390,0.0010236507549559151,0.0003656666421091134
negative,dialing,2.641379025429135,0.41517241379310343,4350,0.001239383263903421,0.0004692182575736411
negative,dial-up,2.5876254447471805,0.43828101188661994,3281,0.0009157845004821621,0.00035390921910324517
negative,proxy,2.583954945159025,0.39925373134328357,2144,0.000597579049784591,0.0002312652745374452
negative,pager,2.551180827175855,0.4579527559055118,3175,0.0008737166612373986,0.00034247539489570356
negative,stout,2.5394092990269375,0.4992834623101175,10467,0.002867085043912352,0.0011290362073616785
negative,smartwatch,2.5203449809141505,0.2436498150431566,4055,0.0011023931207217548,0.00043739770907152064
negative,productive,2.485419202521736,0.38088829071332436,2229,0.000597579049784591,0.00024043390715670023
negative,porter,2.4760611601974674,0.54516711833785,11070,0.002956614035125567,0.001194079565825335
negative,slogans,2.4198985585361297,0.6922428330522765,2372,0.0006191523006793417,0.0002558587832102705
negative,shandy,2.4064072278308455,0.498020158387329,5556,0.0014421718223140763,0.000599304974500954
negative,store-and-forward,2.360499011167395,0.5179882525697503,2724,0.0006935800162662312,0.0002938277088805973
negative,casualty,2.3411124158051613,0.45768082383766984,16411,0.004144221496881586,0.0017701932931128792
negative,blemish,2.30789175521002,0.6209761163032191,3852,0.0009589310022716633,0.0004155008570514174
negative,carry-out,2.2797707997409,0.5708502024291497,7163,0.0017614559355563848,0.000772646064137929
negative,selfie,2.270139860207299,0.22263572679509633,9136,0.002237146117785635,0.000985466207170755
negative,sepsis,2.234391872894678,0.5474260679079956,4565,0.0011002357956322796,0.000492409504787051
neutral,outsource,1.9100901190155304,0.3275171918300318,9743,0.0020073920784058653,0.0010509410306988472
neutral,colloquia,1.9019357370656154,0.22207563764291996,2274,0.0004665218022087785,0.00024528788913159995
neutral,systematisation,1.8957354151000012,0.2789438050101557,2954,0.0006040513508367999,0.00031863695008564044
neutral,systematization,1.8904117745507476,0.22813111545988257,20440,0.004167954320773919,0.002204786479265569
neutral,institutes,1.8718649527620472,0.36433809340023154,2591,0.0005231516163497284,0.0002794814954881159
neutral,organisational,1.8695502252502598,0.14934593023255813,2752,0.0005549721785813099,0.00029684796433164604
neutral,organisations,1.8673616024419009,0.23313716613852423,2209,0.0004449485396788928,0.00023827658183452259
neutral,taxation,1.8620747911860223,0.36367608505680166,6866,0.0013790708072229441,0.0007406097831035908
neutral,enquiries,1.8450292436408444,0.3237604985098889,3691,0.0007345695891426084,0.0003981343882078872
neutral,chocolate-coated,1.8353352687269608,0.3265866209262436,2915,0.0005770847726744427,0.00031443016570739397
neutral,cheese-based,1.8353002474033298,0.46370235934664245,2204,0.0004363192346669385,0.00023773725050397817
neutral,scheme,1.8284178120913837,0.26525557306912856,4441,0.0008758744587133598,0.0004790340877895495
neutral,mergers,1.8200090275946477,0.3734803214506491,9706,0.0019054584129521554,0.0010469499788528186
neutral,non-commercial,1.8118279348505044,0.35930023923444976,13376,0.002614140087058901,0.0014428191754724193
neutral,freighting,1.808365202001759,0.2126448065972904,5093,0.000993448739501237,0.0005493628932925411
neutral,systemization,1.8082129052933247,0.26762775131934613,38845,0.007576529800495862,0.004190065106999561
neutral,commissioned,1.8080947749077965,0.4046997389033943,3830,0.0007469742150972927,0.00041312779919702193
neutral,get-togethers,1.807346587152719,0.352044352044352,7215,0.0014065767169485484,0.000778255109975591
neutral,chatroom,1.8051906998996627,0.34449040992854457,2659,0.0005177583007172571,0.0002868164015835199
neutral,traceability,1.7968757752891222,0.25047348484848486,2112,0.00040935265650458136,0.00022781355402196093
neutral,image-recorded,1.796260617543388,0.20669291338582677,2032,0.0003937120411704142,0.0002191842527332503
neutral,guarantees,1.7956063877399489,0.3439807976366322,5416,0.0010489998905156928,0.0005842036972457104
neutral,choice,1.792396210618704,0.29513307984790876,13150,0.002542408989147031,0.0014184413993318116
neutral,computerised,1.7872594348832316,0.2687130763140264,16419,0.0031653369446974808,0.0017710562232417502
neutral,schemes,1.7828864954486752,0.2773774787113678,16793,0.003229517400723891,0.0018113982067664725
positive,non-fungible,7.925387746154285,0.6271502590673576,4825,0.004124805571076311,0.0005204547339753606
positive,nfts,7.877773549767511,0.5989662511401642,3289,0.0027948146534149377,0.00035477214923211625
positive,authenticated,6.677034012795564,0.5393986521513737,3858,0.002778634715243875,0.00041614805464807066
positive,blockchain-based,6.379014708231989,0.5970347842615472,5261,0.0036199915001391475,0.0005674844259988336
positive,crypto,5.934415151026111,0.5698822031200255,3141,0.002010626983390754,0.00033880794184800155
positive,cryptocurrencies,5.383415878163898,0.5713840399002493,3208,0.0018628502147617126,0.0003460349816772967
positive,blockchain,5.245509234090897,0.547838557672608,14643,0.008285207006128961,0.0015794857346323739
positive,cryptocurrency,5.135984139180834,0.5478338116714501,14634,0.008107227686247269,0.001578514938237394
positive,decentralized,5.080644613260159,0.5394507410636443,4588,0.00251436239178318,0.0004948904289075553
positive,add-in,4.183315717659397,0.40061791967044286,4855,0.0021907636283619216,0.000523690721958627
positive,cryptographic,4.171606928153454,0.530961791831357,6072,0.002732252225820161,0.0006549639678131376
positive,repellers,4.11552302177787,0.3637184115523466,2216,0.0009837402408006265,0.00023903164569728477
positive,animal-activated,4.089249051808582,0.37342799188640974,4930,0.0021745836901908584,0.0005317806919167932
positive,cartomizers,3.869277023341547,0.5557087699944843,3626,0.0015133635502667532,0.0003911230809108098
positive,weaves,3.8605129359272676,0.325641690432979,3857,0.0016061285291141807,0.0004160401883819618
